,Scrap_time,Airline1_Back,Airline2_There,Airline2_Back,Airline1_There,Days,Journey_time,prediction
0,2.0,easyJet,easyJet,easyJet,easyJet,2.0,6.0,55.69713087363685
1,20.0,easyJet,easyJet,easyJet,easyJet,104.0,8.0,53.96973234340952
2,20.0,easyJet,easyJet,easyJet,easyJet,243.0,7.0,54.71942804131079
3,2.0,Ryanair,Ryanair,Ryanair,Ryanair,143.0,5.0,56.50306783641613
4,2.0,Ryanair,Ryanair,Ryanair,Ryanair,34.0,8.0,54.47208140865149
5,2.0,Ryanair,Ryanair,Ryanair,Ryanair,109.0,8.0,54.72656046301764
6,20.0,Ryanair,Ryanair,Ryanair,Ryanair,170.0,6.0,59.69550525102998
7,20.0,Ryanair,Ryanair,Ryanair,Ryanair,84.0,4.0,56.15350689607726
8,20.0,Ryanair,Ryanair,Ryanair,Ryanair,194.0,8.0,56.79806920764156
9,2.0,none,none,none,none,100.0,4.0,53.30285592302998
10,2.0,none,none,none,none,185.0,6.0,55.82840763259425
11,2.0,none,none,none,none,142.0,7.0,56.33394968996654
12,20.0,none,none,none,none,144.0,4.0,56.53714919378696
13,20.0,none,none,none,none,130.0,8.0,53.819122556643414
14,20.0,none,none,none,none,185.0,4.0,55.35972129598606
15,20.0,none,none,none,none,207.0,8.0,58.876331268633734
16,20.0,none,none,none,none,66.0,6.0,53.433993042141424
17,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,166.0,8.0,58.097882362704716
18,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,174.0,5.0,59.05044193348963
19,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,157.0,8.0,58.097882362704716
20,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,163.0,7.0,59.028471961971036
21,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,112.0,8.0,54.92710404557643
22,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,13.0,7.0,55.27617310405304
23,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,104.0,7.0,55.36788787432376
24,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,242.0,4.0,57.22487964624079
25,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,177.0,4.0,59.19067052046965
26,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,2.0,8.0,53.879479265211295
27,2.0,easyJet,easyJet,easyJet,easyJet,16.0,4.0,56.823277965466545
28,2.0,easyJet,easyJet,easyJet,easyJet,201.0,6.0,54.60865165561761
29,2.0,easyJet,easyJet,easyJet,easyJet,193.0,7.0,54.60865165561761
30,2.0,easyJet,easyJet,easyJet,easyJet,36.0,6.0,55.632017237170786
31,20.0,easyJet,easyJet,easyJet,easyJet,166.0,4.0,56.78573344085997
32,20.0,easyJet,easyJet,easyJet,easyJet,17.0,4.0,56.12620858221256
33,20.0,easyJet,easyJet,easyJet,easyJet,171.0,8.0,56.850756255197915
34,20.0,easyJet,easyJet,easyJet,easyJet,174.0,4.0,56.13008075897943
35,20.0,easyJet,easyJet,easyJet,easyJet,192.0,4.0,53.950397173368536
36,20.0,easyJet,easyJet,easyJet,easyJet,97.0,8.0,53.96973234340952
37,20.0,easyJet,easyJet,easyJet,easyJet,93.0,5.0,54.934947853916796
38,20.0,easyJet,easyJet,easyJet,easyJet,249.0,7.0,54.71942804131079
39,20.0,easyJet,easyJet,easyJet,easyJet,83.0,8.0,53.6023535402079
40,2.0,Ryanair,Ryanair,Ryanair,Ryanair,166.0,7.0,59.69550525102998
41,2.0,Ryanair,Ryanair,Ryanair,Ryanair,39.0,5.0,55.18760184051907
42,2.0,Ryanair,Ryanair,Ryanair,Ryanair,22.0,8.0,55.37903321595202
43,20.0,Ryanair,Ryanair,Ryanair,Ryanair,98.0,6.0,55.67050236828934
44,20.0,Ryanair,Ryanair,Ryanair,Ryanair,137.0,6.0,56.35175829883963
45,20.0,Ryanair,Ryanair,Ryanair,Ryanair,4.0,7.0,56.177974854804496
46,2.0,none,none,none,none,139.0,6.0,55.74624351254179
47,20.0,none,none,none,none,19.0,7.0,52.80188756413262
48,20.0,none,none,none,none,103.0,7.0,53.215643989241485
49,20.0,none,none,none,none,103.0,4.0,53.255855164249624
50,20.0,none,none,none,none,167.0,5.0,56.125995879993965
51,20.0,none,none,none,none,9.0,7.0,52.80188756413262
52,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,7.0,6.0,55.48403603235613
53,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,141.0,4.0,56.88232223133309
54,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,97.0,7.0,56.18571113529729
55,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,17.0,8.0,53.879479265211295
56,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,6.0,4.0,55.60322987303783
57,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,162.0,8.0,58.097882362704716
58,2.0,easyJet,easyJet,easyJet,easyJet,154.0,8.0,56.850756255197915
59,2.0,easyJet,easyJet,easyJet,easyJet,201.0,5.0,54.53926108197781
60,2.0,easyJet,easyJet,easyJet,easyJet,243.0,6.0,54.71942804131079
61,2.0,easyJet,easyJet,easyJet,easyJet,205.0,8.0,54.36793028736905
62,20.0,easyJet,easyJet,easyJet,easyJet,158.0,7.0,57.44398792310905
63,20.0,easyJet,easyJet,easyJet,easyJet,168.0,5.0,57.37459734946924
64,20.0,easyJet,easyJet,easyJet,easyJet,11.0,7.0,54.79219856207978
65,20.0,easyJet,easyJet,easyJet,easyJet,80.0,7.0,54.727084925613724
66,2.0,Ryanair,Ryanair,Ryanair,Ryanair,120.0,8.0,54.72656046301764
67,2.0,Ryanair,Ryanair,Ryanair,Ryanair,147.0,7.0,57.93597759376198
68,2.0,Ryanair,Ryanair,Ryanair,Ryanair,181.0,7.0,57.48757590814544
69,2.0,Ryanair,Ryanair,Ryanair,Ryanair,168.0,8.0,58.85588834869047
70,20.0,Ryanair,Ryanair,Ryanair,Ryanair,174.0,5.0,59.118746223956734
71,20.0,Ryanair,Ryanair,Ryanair,Ryanair,164.0,6.0,59.69550525102998
72,2.0,none,none,none,none,124.0,4.0,53.78257652489192
73,2.0,none,none,none,none,189.0,4.0,55.10859730415657
74,2.0,none,none,none,none,250.0,8.0,58.87018221978845
75,20.0,none,none,none,none,147.0,6.0,57.4779451130806
76,20.0,none,none,none,none,105.0,4.0,53.277165745118985
77,20.0,none,none,none,none,164.0,5.0,56.696349259380874
78,20.0,none,none,none,none,22.0,4.0,52.97267730116613
79,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,18.0,5.0,55.48403603235613
80,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,97.0,6.0,56.393574063600376
81,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,154.0,6.0,59.028471961971036
82,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,126.0,8.0,56.415109526948
83,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,186.0,6.0,56.94014892151853
84,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,199.0,7.0,56.94014892151853
85,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,13.0,7.0,54.45834984307952
86,2.0,easyJet,easyJet,easyJet,easyJet,113.0,6.0,56.19892955987357
87,2.0,easyJet,easyJet,easyJet,easyJet,1.0,5.0,55.69713087363685
88,2.0,easyJet,easyJet,easyJet,easyJet,208.0,4.0,54.5703598036474
89,2.0,easyJet,easyJet,easyJet,easyJet,21.0,4.0,56.464002441710605
90,2.0,easyJet,easyJet,easyJet,easyJet,21.0,5.0,55.3378553498809
91,2.0,easyJet,easyJet,easyJet,easyJet,84.0,7.0,55.424154308867706
92,20.0,easyJet,easyJet,easyJet,easyJet,32.0,7.0,54.727084925613724
93,20.0,easyJet,easyJet,easyJet,easyJet,193.0,5.0,54.53926108197781
94,20.0,easyJet,easyJet,easyJet,easyJet,112.0,5.0,55.50186017661959
95,20.0,easyJet,easyJet,easyJet,easyJet,183.0,4.0,53.950397173368536
96,20.0,easyJet,easyJet,easyJet,easyJet,189.0,8.0,54.165530189542096
97,20.0,easyJet,easyJet,easyJet,easyJet,46.0,4.0,55.88829754135129
98,2.0,Ryanair,Ryanair,Ryanair,Ryanair,18.0,5.0,56.17550902981613
99,2.0,Ryanair,Ryanair,Ryanair,Ryanair,105.0,5.0,55.64161441438638
100,2.0,Ryanair,Ryanair,Ryanair,Ryanair,129.0,7.0,57.942960218048825
101,20.0,Ryanair,Ryanair,Ryanair,Ryanair,114.0,5.0,55.67050236828934
102,20.0,Ryanair,Ryanair,Ryanair,Ryanair,137.0,5.0,56.35175829883963
103,20.0,Ryanair,Ryanair,Ryanair,Ryanair,251.0,4.0,57.37038609047839
104,20.0,Ryanair,Ryanair,Ryanair,Ryanair,13.0,4.0,57.141414085374336
105,2.0,none,none,none,none,24.0,4.0,53.03641445449792
106,2.0,none,none,none,none,179.0,8.0,59.07322897056756
107,2.0,none,none,none,none,143.0,6.0,56.18297242684103
108,2.0,none,none,none,none,211.0,8.0,58.87018221978845
109,2.0,none,none,none,none,77.0,6.0,53.480993800921794
110,2.0,none,none,none,none,119.0,5.0,53.96071440278372
111,20.0,none,none,none,none,141.0,4.0,55.55708799020321
112,20.0,none,none,none,none,17.0,7.0,52.80188756413262
113,20.0,none,none,none,none,179.0,8.0,59.079378019412864
114,20.0,none,none,none,none,148.0,6.0,57.1698278064697
115,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,102.0,4.0,57.33059116525561
116,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,161.0,8.0,58.097882362704716
117,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,22.0,6.0,55.4030806503596
118,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,194.0,5.0,56.870758347878734
119,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,113.0,7.0,55.36788787432376
120,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,132.0,5.0,57.177210583136954
121,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,211.0,8.0,56.418530097737786
122,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,161.0,6.0,59.028471961971036
123,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,85.0,6.0,55.12173822875953
124,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,167.0,4.0,59.09930997531127
125,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,36.0,8.0,53.789143915050644
126,2.0,easyJet,easyJet,easyJet,easyJet,32.0,5.0,55.632017237170786
127,2.0,easyJet,easyJet,easyJet,easyJet,30.0,8.0,54.36508073864799
128,20.0,easyJet,easyJet,easyJet,easyJet,23.0,4.0,55.766933058456615
129,20.0,easyJet,easyJet,easyJet,easyJet,30.0,5.0,54.934947853916796
130,20.0,easyJet,easyJet,easyJet,easyJet,169.0,4.0,56.78573344085997
131,2.0,Ryanair,Ryanair,Ryanair,Ryanair,251.0,4.0,57.37038609047839
132,20.0,Ryanair,Ryanair,Ryanair,Ryanair,175.0,5.0,59.118746223956734
133,20.0,Ryanair,Ryanair,Ryanair,Ryanair,10.0,8.0,55.969079544203
134,20.0,Ryanair,Ryanair,Ryanair,Ryanair,121.0,6.0,55.67050236828934
135,20.0,Ryanair,Ryanair,Ryanair,Ryanair,183.0,7.0,57.48757590814544
136,20.0,Ryanair,Ryanair,Ryanair,Ryanair,177.0,6.0,59.18813679759654
137,2.0,none,none,none,none,147.0,5.0,56.73866296981181
138,2.0,none,none,none,none,117.0,7.0,54.48366992484555
139,2.0,none,none,none,none,21.0,8.0,53.07785215956811
140,20.0,none,none,none,none,31.0,7.0,52.83337155680586
141,20.0,none,none,none,none,34.0,8.0,53.3170680808332
142,20.0,none,none,none,none,249.0,5.0,55.59088426760172
143,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,131.0,7.0,57.425932835828085
144,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,111.0,5.0,56.393574063600376
145,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,20.0,5.0,55.12476050860018
146,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,167.0,8.0,58.097882362704716
147,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,2.0,4.0,56.421053134011366
148,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,13.0,8.0,54.76296034137092
149,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,116.0,6.0,55.57575080262684
150,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,157.0,8.0,58.097882362704716
151,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,117.0,5.0,55.57575080262684
152,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,30.0,4.0,56.05875533041477
153,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,21.0,5.0,54.30693724762665
154,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,242.0,7.0,57.107385783034715
155,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,121.0,6.0,55.57575080262684
156,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,194.0,4.0,57.010986934858764
157,2.0,easyJet,easyJet,easyJet,easyJet,19.0,5.0,55.51503561342531
158,2.0,easyJet,easyJet,easyJet,easyJet,104.0,4.0,57.15227924730806
159,2.0,easyJet,easyJet,easyJet,easyJet,26.0,7.0,55.129992421577825
160,2.0,easyJet,easyJet,easyJet,easyJet,9.0,5.0,55.69713087363685
161,20.0,easyJet,easyJet,easyJet,easyJet,123.0,4.0,56.455209864054076
162,20.0,easyJet,easyJet,easyJet,easyJet,26.0,6.0,54.640785966626915
163,20.0,easyJet,easyJet,easyJet,easyJet,118.0,8.0,53.96973234340952
164,20.0,easyJet,easyJet,easyJet,easyJet,78.0,6.0,54.934947853916796
165,20.0,easyJet,easyJet,easyJet,easyJet,11.0,6.0,55.00006149038287
166,2.0,Ryanair,Ryanair,Ryanair,Ryanair,132.0,4.0,58.906399448618664
167,2.0,Ryanair,Ryanair,Ryanair,Ryanair,156.0,6.0,59.69550525102998
168,2.0,Ryanair,Ryanair,Ryanair,Ryanair,201.0,7.0,57.54403638396845
169,2.0,Ryanair,Ryanair,Ryanair,Ryanair,4.0,8.0,56.00584940548615
170,2.0,Ryanair,Ryanair,Ryanair,Ryanair,247.0,4.0,57.37038609047839
171,20.0,Ryanair,Ryanair,Ryanair,Ryanair,130.0,6.0,57.99827030086639
172,20.0,Ryanair,Ryanair,Ryanair,Ryanair,31.0,4.0,56.15350689607726
173,20.0,Ryanair,Ryanair,Ryanair,Ryanair,136.0,4.0,57.288775400494856
174,20.0,Ryanair,Ryanair,Ryanair,Ryanair,192.0,7.0,57.48757590814544
175,20.0,Ryanair,Ryanair,Ryanair,Ryanair,187.0,7.0,57.48757590814544
176,20.0,Ryanair,Ryanair,Ryanair,Ryanair,251.0,7.0,57.35119218200457
177,2.0,none,none,none,none,128.0,6.0,54.183172259643186
178,2.0,none,none,none,none,147.0,4.0,56.48932370943801
179,2.0,none,none,none,none,104.0,4.0,53.30285592302998
180,2.0,none,none,none,none,102.0,4.0,53.30285592302998
181,2.0,none,none,none,none,164.0,6.0,57.12085695448724
182,2.0,none,none,none,none,38.0,5.0,53.480993800921794
183,20.0,none,none,none,none,142.0,5.0,55.80642725057701
184,20.0,none,none,none,none,38.0,5.0,53.433993042141424
185,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,24.0,7.0,54.377394461082986
186,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,206.0,6.0,57.107385783034715
187,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,162.0,4.0,59.09930997531127
188,2.0,easyJet,easyJet,easyJet,easyJet,201.0,7.0,54.60865165561761
189,2.0,easyJet,easyJet,easyJet,easyJet,173.0,5.0,56.7189446675887
190,2.0,easyJet,easyJet,easyJet,easyJet,119.0,5.0,56.19892955987357
191,2.0,easyJet,easyJet,easyJet,easyJet,195.0,5.0,54.53926108197781
192,20.0,easyJet,easyJet,easyJet,easyJet,113.0,4.0,56.455209864054076
193,20.0,easyJet,easyJet,easyJet,easyJet,103.0,7.0,55.2939972483165
194,20.0,easyJet,easyJet,easyJet,easyJet,132.0,6.0,57.10331995712968
195,20.0,easyJet,easyJet,easyJet,easyJet,194.0,5.0,54.53926108197781
196,2.0,Ryanair,Ryanair,Ryanair,Ryanair,100.0,7.0,55.61519228547178
197,2.0,Ryanair,Ryanair,Ryanair,Ryanair,185.0,8.0,56.79806920764156
198,2.0,Ryanair,Ryanair,Ryanair,Ryanair,176.0,8.0,58.34851989525704
199,2.0,Ryanair,Ryanair,Ryanair,Ryanair,108.0,5.0,55.64161441438638
200,2.0,Ryanair,Ryanair,Ryanair,Ryanair,178.0,7.0,57.48757590814544
201,2.0,Ryanair,Ryanair,Ryanair,Ryanair,169.0,6.0,59.69550525102998
202,20.0,Ryanair,Ryanair,Ryanair,Ryanair,207.0,8.0,56.75330919363447
203,20.0,Ryanair,Ryanair,Ryanair,Ryanair,106.0,6.0,55.67050236828934
204,20.0,Ryanair,Ryanair,Ryanair,Ryanair,36.0,4.0,56.15350689607726
205,2.0,none,none,none,none,154.0,6.0,56.92802942984491
206,2.0,none,none,none,none,18.0,4.0,52.890659624457996
207,2.0,none,none,none,none,23.0,6.0,53.36189582373464
208,2.0,none,none,none,none,161.0,4.0,56.52837668511329
209,2.0,none,none,none,none,194.0,7.0,55.68451244431121
210,20.0,none,none,none,none,154.0,6.0,57.041606188082845
211,20.0,none,none,none,none,200.0,8.0,58.732047353731105
212,20.0,none,none,none,none,182.0,5.0,55.891292635192144
213,20.0,none,none,none,none,2.0,8.0,53.01411500623632
214,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,7.0,4.0,56.421053134011366
215,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,20.0,7.0,54.916897580297096
216,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,210.0,7.0,57.107385783034715
217,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,125.0,6.0,56.393574063600376
218,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,112.0,7.0,56.18571113529729
219,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,251.0,8.0,56.418530097737786
220,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,111.0,6.0,55.57575080262684
221,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,184.0,6.0,56.94014892151853
222,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,45.0,5.0,55.12173822875953
223,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,158.0,4.0,59.09930997531127
224,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,193.0,7.0,56.94014892151853
225,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,190.0,4.0,57.010986934858764
226,2.0,easyJet,easyJet,easyJet,easyJet,7.0,6.0,55.69713087363685
227,2.0,easyJet,easyJet,easyJet,easyJet,136.0,6.0,55.31896378298303
228,2.0,easyJet,easyJet,easyJet,easyJet,195.0,8.0,54.165530189542096
229,20.0,easyJet,easyJet,easyJet,easyJet,171.0,4.0,56.78573344085997
230,20.0,easyJet,easyJet,easyJet,easyJet,242.0,8.0,54.36793028736905
231,20.0,easyJet,easyJet,easyJet,easyJet,177.0,6.0,56.7883352412285
232,2.0,Ryanair,Ryanair,Ryanair,Ryanair,113.0,6.0,55.64161441438638
233,2.0,Ryanair,Ryanair,Ryanair,Ryanair,1.0,7.0,56.14908690090154
234,2.0,Ryanair,Ryanair,Ryanair,Ryanair,101.0,8.0,54.72656046301764
235,2.0,Ryanair,Ryanair,Ryanair,Ryanair,186.0,6.0,57.48757590814544
236,2.0,Ryanair,Ryanair,Ryanair,Ryanair,108.0,7.0,55.61519228547178
237,2.0,Ryanair,Ryanair,Ryanair,Ryanair,140.0,7.0,56.044948864533524
238,2.0,Ryanair,Ryanair,Ryanair,Ryanair,145.0,6.0,57.96239972267658
239,2.0,Ryanair,Ryanair,Ryanair,Ryanair,162.0,5.0,59.62611467739017
240,20.0,Ryanair,Ryanair,Ryanair,Ryanair,111.0,5.0,55.67050236828934
241,20.0,Ryanair,Ryanair,Ryanair,Ryanair,19.0,6.0,56.02230172350757
242,20.0,Ryanair,Ryanair,Ryanair,Ryanair,100.0,8.0,54.68979060173449
243,20.0,Ryanair,Ryanair,Ryanair,Ryanair,1.0,8.0,55.969079544203
244,20.0,Ryanair,Ryanair,Ryanair,Ryanair,152.0,4.0,59.46082832806128
245,20.0,Ryanair,Ryanair,Ryanair,Ryanair,200.0,6.0,57.48757590814544
246,2.0,none,none,none,none,24.0,8.0,53.03406159672754
247,2.0,none,none,none,none,122.0,5.0,53.96071440278372
248,2.0,none,none,none,none,110.0,8.0,54.686487318083195
249,2.0,none,none,none,none,150.0,5.0,56.569063164222506
250,2.0,none,none,none,none,114.0,7.0,54.48366992484555
251,2.0,none,none,none,none,207.0,6.0,55.68714857637514
252,20.0,none,none,none,none,201.0,4.0,55.102114397983954
253,20.0,none,none,none,none,79.0,6.0,53.433993042141424
254,20.0,none,none,none,none,93.0,8.0,53.3170680808332
255,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,146.0,8.0,56.72423987467482
256,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,242.0,6.0,57.107385783034715
257,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,205.0,6.0,57.107385783034715
258,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,3.0,6.0,55.48403603235613
259,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,110.0,8.0,54.04362296941679
260,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,169.0,4.0,59.09930997531127
261,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,76.0,4.0,56.05875533041477
262,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,95.0,5.0,55.57575080262684
263,2.0,easyJet,easyJet,easyJet,easyJet,24.0,8.0,54.0709188513581
264,2.0,easyJet,easyJet,easyJet,easyJet,152.0,4.0,56.5785184592833
265,2.0,easyJet,easyJet,easyJet,easyJet,150.0,6.0,57.20448790091325
266,2.0,easyJet,easyJet,easyJet,easyJet,106.0,4.0,57.15227924730806
267,2.0,easyJet,easyJet,easyJet,easyJet,29.0,8.0,54.092235578360565
268,2.0,easyJet,easyJet,easyJet,easyJet,146.0,7.0,56.57097606421685
269,2.0,easyJet,easyJet,easyJet,easyJet,109.0,7.0,55.99106663157048
270,20.0,easyJet,easyJet,easyJet,easyJet,39.0,6.0,54.934947853916796
271,20.0,easyJet,easyJet,easyJet,easyJet,156.0,8.0,56.850756255197915
272,20.0,easyJet,easyJet,easyJet,easyJet,176.0,8.0,56.195103573317375
273,20.0,easyJet,easyJet,easyJet,easyJet,9.0,7.0,54.79219856207978
274,20.0,easyJet,easyJet,easyJet,easyJet,76.0,5.0,54.934947853916796
275,20.0,easyJet,easyJet,easyJet,easyJet,66.0,7.0,54.727084925613724
276,2.0,Ryanair,Ryanair,Ryanair,Ryanair,184.0,8.0,56.79806920764156
277,2.0,Ryanair,Ryanair,Ryanair,Ryanair,156.0,4.0,59.66804330963795
278,2.0,Ryanair,Ryanair,Ryanair,Ryanair,82.0,4.0,56.1246189421743
279,2.0,Ryanair,Ryanair,Ryanair,Ryanair,195.0,5.0,57.41818533450563
280,20.0,Ryanair,Ryanair,Ryanair,Ryanair,142.0,8.0,56.5761081875
281,20.0,Ryanair,Ryanair,Ryanair,Ryanair,199.0,8.0,56.79806920764156
282,2.0,none,none,none,none,144.0,8.0,59.04226290265476
283,2.0,none,none,none,none,17.0,4.0,52.890659624457996
284,2.0,none,none,none,none,184.0,5.0,56.02289548180462
285,2.0,none,none,none,none,107.0,8.0,53.38537942048295
286,2.0,none,none,none,none,25.0,7.0,52.82183415462384
287,2.0,none,none,none,none,191.0,8.0,58.72589830488581
288,2.0,none,none,none,none,83.0,4.0,53.30285592302998
289,20.0,none,none,none,none,27.0,5.0,53.29815867040285
290,20.0,none,none,none,none,107.0,8.0,53.33837866170258
291,20.0,none,none,none,none,155.0,5.0,56.429298363633734
292,20.0,none,none,none,none,42.0,6.0,53.433993042141424
293,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,141.0,7.0,55.737442201374776
294,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,29.0,6.0,55.42439737736205
295,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,0.0,6.0,55.48403603235613
296,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,168.0,6.0,59.028471961971036
297,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,38.0,6.0,55.939561489733066
298,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,127.0,8.0,56.87169470794223
299,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,22.0,8.0,53.25266307567718
300,20.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,4.0,6.0,54.6662127713826
301,2.0,easyJet,easyJet,easyJet,easyJet,10.0,5.0,55.69713087363685
302,2.0,easyJet,easyJet,easyJet,easyJet,173.0,4.0,56.13008075897943
303,2.0,easyJet,easyJet,easyJet,easyJet,194.0,8.0,54.165530189542096
304,20.0,easyJet,easyJet,easyJet,easyJet,138.0,5.0,55.23463183119691
305,20.0,easyJet,easyJet,easyJet,easyJet,105.0,4.0,56.455209864054076
306,20.0,easyJet,easyJet,easyJet,easyJet,191.0,4.0,53.950397173368536
307,2.0,Ryanair,Ryanair,Ryanair,Ryanair,114.0,5.0,55.64161441438638
308,2.0,Ryanair,Ryanair,Ryanair,Ryanair,157.0,6.0,59.69550525102998
309,2.0,Ryanair,Ryanair,Ryanair,Ryanair,148.0,5.0,58.31160460851646
310,2.0,Ryanair,Ryanair,Ryanair,Ryanair,79.0,8.0,54.47208140865149
311,2.0,Ryanair,Ryanair,Ryanair,Ryanair,2.0,7.0,56.14908690090154
312,20.0,Ryanair,Ryanair,Ryanair,Ryanair,99.0,5.0,55.67050236828934
313,20.0,Ryanair,Ryanair,Ryanair,Ryanair,171.0,7.0,59.69550525102998
314,20.0,Ryanair,Ryanair,Ryanair,Ryanair,143.0,8.0,56.5761081875
315,20.0,Ryanair,Ryanair,Ryanair,Ryanair,6.0,7.0,56.177974854804496
316,20.0,Ryanair,Ryanair,Ryanair,Ryanair,206.0,7.0,57.35119218200457
317,20.0,Ryanair,Ryanair,Ryanair,Ryanair,46.0,7.0,55.190067665507435
318,20.0,Ryanair,Ryanair,Ryanair,Ryanair,42.0,8.0,54.435311547368336
319,2.0,none,none,none,none,39.0,4.0,53.30285592302998
320,2.0,none,none,none,none,174.0,8.0,59.21248901657477
321,2.0,none,none,none,none,157.0,6.0,57.12085695448724
322,2.0,none,none,none,none,134.0,7.0,53.96641479974031
323,2.0,none,none,none,none,146.0,6.0,57.30499968829179
324,20.0,none,none,none,none,32.0,4.0,53.045210211068024
325,20.0,none,none,none,none,23.0,7.0,52.75809700129205
326,20.0,none,none,none,none,21.0,6.0,53.34194923324342
327,20.0,none,none,none,none,200.0,4.0,55.102114397983954
328,20.0,none,none,none,none,159.0,5.0,56.696349259380874
329,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,78.0,5.0,55.939561489733066
330,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,33.0,5.0,55.939561489733066
331,2.0,Laudamotion,Laudamotion,Laudamotion,Laudamotion,82.0,4.0,56.87657859138831
